,wine_id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,color_red,color_white,quality
10,w011,8.1,0.773,0.3,1.2,0.045,17,126,0.9984,3.26,1.06,13.1,0,1,5.0
11,w012,11.0,0.472,0.76,6.2,0.035,26,95,0.9967,3.06,0.74,11.4,0,1,7.0
12,w013,6.7,0.703,0.78,4.1,0.027,28,39,0.9989,3.29,1.03,11.2,0,1,6.0
13,w014,9.5,0.77,0.83,8.4,0.069,18,22,0.9972,3.53,0.51,12.2,0,1,6.0
14,w015,11.6,0.503,0.81,10.0,0.056,24,50,0.9953,3.65,0.82,12.5,0,1,9.0
15,w016,10.3,0.341,0.7,10.1,0.081,15,91,0.9957,3.45,0.98,9.4,0,1,8.0
16,w017,11.0,0.777,0.54,7.8,0.068,13,63,0.9988,3.9,0.75,12.3,0,1,6.0
17,w018,7.2,0.342,0.34,4.8,0.062,7,123,0.9956,3.24,0.68,10.9,0,1,6.0
18,w019,12.6,0.749,0.05,6.5,0.063,20,79,0.9986,3.43,0.78,9.2,0,1,5.0
19,w020,7.6,0.514,0.76,5.2,0.035,19,128,0.997,3.93,0.57,12.9,0,1,6.0
